source,target,weight
0,14,10
0,53,5
0,56,10
0,20,5
0,8,10
1,26,10
1,12,10
1,45,10
1,70,10
1,19,10
1,58,10
1,56,10
1,21,10
1,23,10
1,67,5
1,57,10
1,2,10
2,45,10
2,93,10
2,81,5
2,16,5
2,8,10
17,2,10
2,25,5
2,82,10
2,31,5
2,78,5
2,99,5
2,58,10
2,87,10
2,57,10
2,22,10
2,70,10
14,2,10
2,23,10
2,44,10
2,50,10
2,30,10
2,40,10
2,34,10
2,21,10
12,2,10
2,20,10
19,2,10
13,2,10
2,6,10
30,5,10
5,93,10
5,50,10
5,70,10
5,54,5
6,82,5
6,20,5
6,56,5
31,6,10
23,6,10
50,6,10
6,67,10
21,6,10
30,6,10
19,6,10
12,6,10
13,6,10
6,8,10
13,7,10
60,7,10
22,7,10
7,70,5
7,12,5
7,78,5
7,2,5
7,71,10
42,7,10
7,85,10
101,7,10
7,99,5
7,30,5
7,5,5
55,7,10
17,7,10
7,93,10
25,7,10
7,1,5
7,90,10
61,7,10
7,47,5
7,66,5
7,86,5
52,7,10
7,88,10
7,73,10
7,82,5
7,72,5
7,83,10
7,80,5
29,7,10
15,7,10
7,54,5
7,48,5
44,7,10
46,7,10
50,7,10
51,7,10
26,7,10
31,7,10
7,64,5
45,7,10
16,7,10
7,9,10
7,65,5
32,7,10
8,17,5
8,81,5
8,101,5
8,94,10
8,83,10
70,8,10
25,8,10
8,99,5
55,8,10
8,93,10
8,47,5
12,8,10
8,88,5
48,8,10
66,8,10
8,58,5
72,8,10
8,82,5
8,67,5
16,8,10
8,21,5
8,7,5
8,64,5
8,62,5
53,8,10
8,37,5
8,20,5
8,30,5
8,39,5
56,8,10
11,8,10
24,8,10
31,8,10
8,3,5
8,1,5
15,8,10
60,9,10
42,9,10
71,9,10
101,9,10
9,90,5
55,9,10
9,93,10
61,9,10
9,30,5
9,62,5
83,9,10
9,78,5
52,9,10
9,29,5
76,9,10
57,9,10
32,9,10
14,9,10
17,9,10
21,9,10
9,19,5
9,80,5
34,9,10
9,54,5
9,12,5
9,47,5
9,70,5
15,9,10
9,82,5
9,68,5
9,20,5
9,3,5
9,2,5
46,9,10
9,64,5
44,9,10
51,9,10
16,9,10
25,9,10
9,23,5
73,9,10
31,9,10
9,67,5
58,9,10
65,9,10
9,40,5
13,9,10
27,9,10
45,9,10
9,1,5
26,9,10
50,9,10
9,56,5
18,9,10
10,101,5
10,99,5
10,94,5
10,70,10
10,50,5
10,31,5
10,82,5
10,25,10
10,56,5
11,24,5
11,72,10
11,56,5
11,31,10
12,93,5
100,12,10
12,68,5
12,76,5
12,87,10
12,33,10
12,25,10
12,18,10
12,34,10
12,29,10
12,70,10
12,23,10
12,17,10
12,78,10
12,26,10
12,82,10
12,22,10
12,21,10
12,50,10
12,58,10
12,30,10
12,19,10
12,67,10
12,40,10
12,13,10
13,22,10
13,82,10
13,77,10
13,51,10
13,16,5
13,31,10
13,81,10
13,76,5
13,70,10
13,73,10
13,58,10
13,30,10
13,50,10
13,42,10
13,44,10
13,23,10
13,68,5
13,57,10
13,17,10
13,45,10
13,40,10
13,29,10
13,26,10
13,34,10
13,21,10
13,27,10
13,20,5
13,18,10
13,1,5
14,78,5
14,102,5
14,8,5
14,32,5
14,85,5
14,37,10
14,99,5
14,95,5
14,17,5
14,51,10
14,82,10
14,23,5
14,21,10
14,13,5
14,16,10
14,31,10
14,80,5
14,45,5
14,50,10
14,47,10
14,19,10
14,56,5
14,70,10
14,30,10
14,20,5
14,58,10
14,29,10
14,40,10
14,1,5
14,57,10
15,82,10
15,51,10
15,83,10
15,55,10
15,93,10
15,85,10
15,92,10
15,88,10
15,52,10
15,90,5
15,59,10
15,25,10
15,38,5
15,26,10
15,54,5
15,58,5
15,57,5
15,1,5
15,0,5
15,45,10
15,43,5
15,44,10
15,73,10
15,65,5
15,46,10
15,16,10
15,64,5
15,48,5
15,79,10
15,11,5
15,62,5
15,24,5
15,31,10
15,50,10
15,56,5
16,42,10
101,16,10
16,71,10
100,16,10
16,99,5
16,55,10
16,93,10
16,17,10
16,62,5
16,91,10
16,92,10
16,83,10
16,66,10
16,54,5
16,52,10
16,21,10
16,80,5
16,56,5
16,82,10
16,34,10
16,27,10
16,73,10
16,46,10
16,70,10
16,51,10
16,44,10
16,26,10
16,50,10
16,63,5
16,57,10
16,79,10
16,45,10
16,58,10
16,40,10
16,68,5
16,31,10
16,48,10
17,98,10
17,28,5
17,93,10
103,17,10
17,51,10
17,81,10
17,94,5
17,60,10
17,99,5
17,5,5
17,3,5
17,76,10
17,36,5
17,67,5
17,82,10
17,30,10
17,84,5
17,66,10
17,80,5
17,70,10
17,25,10
17,62,5
17,54,5
17,78,5
17,44,5
17,77,10
17,50,10
17,68,5
17,42,10
17,40,10
17,58,10
17,57,10
17,49,5
17,34,10
18,51,10
18,61,5
18,73,10
18,57,10
18,21,10
18,58,10
18,67,10
18,68,5
18,56,5
18,2,5
18,26,10
18,1,5
18,45,10
18,40,10
18,32,5
18,27,10
19,82,5
19,4,5
19,76,10
19,54,5
19,62,5
19,70,10
19,67,10
19,56,5
19,23,10
19,22,10
19,29,10
19,44,10
19,47,10
19,3,5
19,30,10
19,58,10
19,57,10
19,50,10
19,21,10
19,33,10
19,34,10
19,20,5
19,13,5
20,98,5
20,21,10
20,25,10
20,70,10
20,67,10
20,57,10
20,58,10
20,1,5
21,98,10
21,42,5
21,52,5
21,3,5
21,91,10
21,50,10
21,31,10
21,93,10
21,55,5
21,95,5
21,51,10
21,88,5
21,76,5
21,87,10
21,5,5
21,80,5
21,54,5
21,70,10
21,38,5
21,22,10
21,64,5
21,82,10
21,74,5
21,4,5
21,78,5
21,17,5
21,23,5
21,29,10
21,44,10
21,67,10
21,68,5
21,62,5
21,26,10
21,57,10
21,58,10
21,40,10
21,56,5
21,30,10
21,34,10
22,76,10
22,36,5
22,104,5
22,98,10
22,87,5
22,85,10
22,94,5
22,102,5
22,8,5
22,66,5
22,81,10
22,103,5
22,101,5
22,51,10
22,60,10
22,9,5
22,73,10
22,99,5
22,35,5
22,42,5
22,52,10
22,83,10
22,88,5
22,55,10
100,22,10
22,93,10
22,91,10
22,95,5
22,78,5
22,82,5
22,48,5
22,70,10
22,16,5
22,26,10
22,45,10
22,84,5
22,5,5
22,25,10
22,27,5
22,31,5
22,79,5
22,80,5
22,33,5
22,6,5
22,23,5
22,43,5
22,75,10
22,77,10
22,17,5
22,63,5
22,38,5
22,54,5
22,64,5
22,56,5
22,68,5
22,3,5
22,50,10
22,18,5
22,67,10
22,44,10
22,29,10
22,20,5
22,40,10
22,34,5
22,30,10
22,58,10
22,1,5
22,47,10
22,57,10
23,30,10
23,40,10
23,70,10
23,38,10
23,57,10
23,29,10
23,34,10
24,1,5
24,0,5
24,31,10
24,56,10
25,102,5
25,87,10
25,93,10
25,96,5
25,66,10
25,59,10
25,81,5
25,88,5
25,28,10
25,80,5
25,60,10
25,86,5
25,42,10
25,101,5
25,99,5
25,83,10
100,25,10
25,52,5
25,95,5
25,5,5
25,94,10
25,76,5
25,48,5
25,41,10
25,85,10
25,44,10
25,51,10
25,16,5
25,90,10
25,84,5
25,82,10
25,36,5
25,78,5
25,69,5
25,31,10
25,6,5
25,19,5
25,3,5
25,77,5
25,54,5
25,62,5
25,26,10
25,40,10
25,58,10
25,57,5
25,67,5
25,56,5
25,47,10
25,30,5
25,70,10
25,34,5
25,50,10
25,39,5
25,45,10
26,37,10
26,48,5
26,78,5
26,70,10
26,62,5
26,61,10
26,65,5
26,47,5
26,44,10
26,56,5
26,82,10
26,52,10
26,51,10
26,31,10
26,46,10
26,64,5
26,58,10
26,73,10
26,14,5
26,20,5
26,72,5
26,57,10
26,29,10
26,67,10
26,23,5
26,34,5
26,19,5
26,2,5
26,30,5
26,40,10
26,50,10
26,45,10
26,27,10
27,61,5
27,51,10
27,99,5
27,80,5
27,76,5
27,82,5
27,70,5
27,7,5
27,31,5
27,52,10
27,58,10
27,47,5
27,12,5
27,19,5
27,73,10
27,40,10
27,67,5
27,1,5
27,43,5
27,68,5
27,57,10
27,34,10
27,50,10
27,45,10
27,32,10
28,30,5
28,68,5
28,7,5
28,12,5
28,48,5
28,42,10
28,71,10
28,51,10
28,83,10
28,70,5
28,99,5
28,58,5
28,31,5
28,16,5
28,82,5
28,45,10
28,56,5
29,5,5
29,65,10
29,82,5
29,31,5
29,56,5
29,46,10
29,51,10
29,70,10
29,67,10
29,58,10
29,57,10
29,34,10
29,38,10
29,50,10
29,30,10
30,70,10
30,34,10
30,87,5
30,50,10
30,16,5
30,3,5
30,40,10
30,68,5
30,80,10
30,54,5
30,82,10
30,67,10
30,47,10
30,57,10
30,58,10
30,20,5
31,97,10
31,54,5
31,81,10
31,60,10
31,83,10
31,47,10
31,42,10
31,99,5
31,55,10
31,1,5
31,40,10
31,86,5
31,93,10
31,57,5
31,58,10
31,66,10
31,52,10
31,88,10
31,76,10
31,12,5
31,82,10
31,65,5
31,46,10
31,44,10
31,51,10
31,70,10
31,79,10
31,50,10
31,64,10
31,63,5
31,56,5
31,48,10
32,52,10
32,42,10
32,83,10
32,65,10
32,44,10
32,51,10
32,46,10
32,50,10
32,16,5
32,31,5
32,45,10
33,43,5
33,67,5
33,57,5
33,58,10
33,68,5
33,40,5
33,6,5
33,1,5
33,30,5
33,2,5
34,50,10
34,95,5
34,93,10
34,51,10
34,100,5
34,99,5
34,76,5
34,80,5
34,82,10
34,75,10
34,5,5
34,81,10
34,4,5
34,70,10
34,77,10
34,78,5
34,42,10
34,43,5
34,67,10
34,68,5
34,20,5
34,45,10
34,38,10
34,48,5
34,58,10
34,57,10
34,44,10
34,1,5
34,49,10
34,40,10
34,18,5
35,46,10
35,17,5
35,68,5
35,2,5
35,91,10
35,52,10
35,95,5
35,66,5
35,50,10
35,71,5
35,101,5
35,42,10
35,81,10
35,77,10
35,7,5
35,83,10
35,44,5
35,99,5
35,93,10
35,55,10
35,31,5
35,1,5
35,88,10
35,82,5
35,80,5
35,58,5
35,57,5
35,56,5
36,86,5
36,12,5
36,33,5
36,78,10
36,80,5
36,84,5
36,40,10
36,57,10
36,58,10
37,50,10
37,16,5
37,1,5
37,20,5
37,56,5
38,16,5
38,5,5
38,54,5
38,64,5
38,50,10
38,68,5
38,57,10
38,30,5
38,33,5
40,57,10
40,82,10
40,99,5
40,87,10
40,80,10
40,50,10
40,67,10
40,29,5
40,72,5
40,78,10
40,54,5
40,70,10
40,68,10
40,64,10
40,63,10
40,45,10
40,58,10
40,44,10
40,3,5
40,47,10
40,19,5
40,1,5
40,20,5
41,42,5
41,57,5
41,81,10
41,62,5
41,56,5
42,68,5
104,42,10
103,42,10
42,88,10
42,2,5
42,61,10
42,90,5
42,60,10
42,95,5
42,101,5
42,55,10
42,93,10
42,83,10
42,71,10
42,52,10
42,50,10
42,46,10
42,82,5
42,51,10
42,66,10
42,45,10
42,58,10
42,56,5
42,81,10
42,77,10
43,40,5
44,99,5
44,66,5
44,95,5
44,52,10
44,75,10
44,83,10
44,91,10
44,55,10
44,88,10
44,93,10
44,82,5
44,87,10
44,80,5
44,78,10
44,46,10
44,84,5
44,51,10
44,64,5
44,67,10
44,29,5
44,50,10
44,45,10
44,68,5
44,56,10
44,58,10
44,57,10
44,12,5
44,1,5
44,30,5
45,43,5
45,71,10
45,70,10
45,61,10
45,101,5
45,99,5
45,85,10
45,79,10
45,93,10
45,95,10
45,52,10
45,82,10
45,78,10
45,88,10
45,46,10
45,65,5
45,80,10
45,51,10
45,30,5
45,68,10
45,19,5
45,3,5
45,72,10
45,62,5
45,31,5
45,23,5
45,64,10
45,73,10
45,67,5
45,57,10
45,58,10
45,50,10
46,103,5
46,60,10
46,85,10
46,80,5
46,99,5
46,71,5
46,95,5
46,101,5
46,34,5
46,55,10
46,5,5
46,86,5
46,91,10
46,93,10
46,40,5
46,66,10
46,88,10
46,83,10
46,52,10
46,25,5
46,27,5
46,82,5
46,21,5
46,22,5
46,73,10
46,57,5
46,30,5
46,48,5
46,79,5
46,67,5
46,58,5
46,68,5
46,54,5
46,47,5
46,1,5
46,23,5
46,65,5
46,38,5
46,50,10
46,64,10
46,51,10
47,94,10
47,86,5
47,42,5
47,39,5
47,85,10
47,99,5
47,70,10
47,12,5
47,16,5
47,82,10
47,58,10
47,57,10
47,84,10
47,50,10
47,67,10
47,63,5
48,99,5
48,63,10
48,82,10
48,79,10
48,50,10
48,64,10
48,2,5
49,42,5
49,99,5
49,41,5
49,81,10
49,82,5
49,66,10
49,77,10
49,78,5
49,47,5
49,40,5
50,81,5
50,98,10
50,71,10
50,28,5
50,55,10
101,50,10
50,95,5
50,60,10
50,80,5
50,86,5
50,99,5
50,93,10
50,78,5
50,83,10
50,88,5
50,52,10
50,72,5
50,8,5
50,67,5
50,70,10
50,73,10
50,82,10
50,65,5
50,51,10
50,63,5
50,54,5
50,23,5
50,4,5
50,57,10
50,56,5
50,43,5
50,58,10
50,20,5
50,1,5
50,18,5
51,2,5
51,8,5
51,99,5
51,83,10
101,51,10
51,71,10
51,55,10
51,80,5
51,66,10
51,65,10
51,60,10
51,85,10
51,1,5
51,61,10
51,93,10
51,91,10
51,78,5
51,62,5
51,88,10
51,52,10
51,36,5
51,82,10
51,0,5
51,86,5
51,40,5
51,10,5
51,43,5
51,20,5
51,23,5
51,67,5
51,53,5
51,68,5
51,57,5
51,58,10
51,70,10
51,63,5
51,48,5
51,79,5
51,73,10
51,56,5
51,64,10
52,60,10
52,71,10
101,52,10
52,78,5
52,99,5
52,34,5
52,66,5
52,30,5
52,55,10
52,93,10
52,54,5
52,82,10
52,85,10
52,83,10
52,86,5
52,73,10
52,43,5
52,40,5
52,48,5
52,56,5
53,80,5
53,85,10
53,47,5
53,62,5
53,82,5
53,24,5
53,70,10
53,31,5
53,58,5
54,67,10
54,4,5
55,25,5
55,27,5
55,57,5
55,71,10
55,60,10
55,86,5
101,55,10
55,91,10
55,85,10
55,95,5
55,99,5
55,80,5
55,48,5
55,56,5
55,93,10
55,64,5
55,88,10
55,83,10
55,17,5
55,82,5
55,45,5
56,62,5
57,89,5
57,94,10
57,87,10
57,76,5
57,60,10
57,82,10
57,84,5
57,6,5
57,79,10
57,80,10
57,56,5
57,68,10
57,54,5
57,67,10
57,78,10
57,70,10
57,12,5
57,43,5
57,58,10
58,6,5
58,87,10
58,94,10
58,3,5
58,64,10
58,76,5
58,63,10
58,78,10
58,38,5
58,82,10
58,84,5
58,5,5
58,79,10
58,54,5
58,73,10
58,80,10
58,66,10
58,23,5
58,70,10
58,68,10
58,67,10
59,7,5
59,16,5
59,28,5
59,45,5
59,79,5
59,31,5
60,35,5
60,36,5
60,67,5
60,95,5
60,66,5
60,13,5
60,2,5
60,81,5
60,71,5
60,94,5
60,75,5
60,93,10
60,101,5
60,82,5
103,60,10
60,86,5
60,85,10
60,65,10
60,80,5
60,70,5
60,1,5
60,5,5
60,83,10
60,99,5
60,16,5
60,68,5
60,78,5
60,45,5
60,58,5
61,50,5
61,93,5
61,102,5
61,13,5
61,31,5
61,81,10
61,99,5
61,83,10
61,57,5
61,82,5
61,25,5
61,58,5
62,39,5
63,96,10
63,64,10
63,55,5
63,101,5
63,99,5
63,85,10
63,79,10
63,80,10
63,72,5
63,68,5
64,71,5
64,80,5
101,64,10
64,66,10
64,93,10
64,88,5
64,20,5
64,79,10
64,56,5
65,44,5
65,83,10
65,4,5
65,37,5
65,73,10
65,54,5
66,97,10
66,98,5
101,66,10
66,53,5
66,70,10
100,66,10
66,81,10
66,55,5
66,41,5
66,99,5
66,68,5
66,95,5
66,77,10
66,48,5
66,83,10
66,93,10
66,47,5
66,88,10
66,40,5
66,82,5
66,79,5
66,84,10
66,57,5
66,80,5
66,34,5
66,30,5
67,5,5
67,70,10
67,16,5
67,76,10
67,56,5
67,2,5
68,78,10
68,84,5
68,80,10
68,70,10
68,23,5
68,1,5
68,67,5
69,40,5
69,79,10
69,101,5
69,70,10
69,99,5
69,78,5
69,36,5
69,58,5
69,45,5
69,1,5
69,82,5
69,57,5
69,68,5
70,15,5
70,83,10
70,42,5
70,81,5
100,70,10
70,101,5
70,95,5
70,99,5
70,93,10
70,94,10
70,48,5
70,85,10
70,88,10
70,87,5
70,76,10
70,36,5
70,63,5
70,80,5
70,82,10
70,3,5
70,56,5
70,64,5
70,62,5
70,78,5
70,54,5
70,39,5
71,61,5
71,93,10
71,58,5
71,101,5
71,83,10
72,31,5
73,88,10
73,71,5
73,101,5
73,83,10
73,66,5
73,40,5
73,25,5
73,82,5
73,64,5
73,31,5
73,57,5
73,43,5
75,93,5
75,81,5
75,91,10
75,12,5
75,99,5
75,17,5
75,42,5
75,25,5
75,78,5
75,58,5
75,31,5
75,48,5
75,50,5
75,16,5
75,70,5
75,82,5
75,84,5
75,5,5
75,23,5
75,54,5
75,30,5
75,13,5
75,57,5
76,99,5
76,5,5
76,54,5
76,50,5
76,82,10
76,20,5
77,93,5
77,103,5
77,31,5
77,2,5
77,83,5
77,101,5
77,30,5
77,78,5
77,80,5
77,57,5
77,99,5
77,56,5
77,16,5
77,82,5
77,41,5
77,81,10
77,58,5
77,1,5
78,19,5
78,82,10
78,67,5
78,80,10
79,39,5
79,29,5
79,98,10
79,87,5
79,41,5
79,82,5
79,99,5
79,8,5
79,93,10
79,43,5
79,47,5
79,21,5
79,94,5
79,103,5
79,44,5
79,6,5
79,52,5
79,17,5
79,68,5
79,18,5
79,85,10
79,30,5
79,78,5
79,62,5
79,1,5
79,56,5
79,20,5
79,50,5
79,80,10
79,40,5
80,98,10
80,82,10
81,102,5
81,83,10
81,93,10
81,78,5
81,55,5
101,81,10
81,82,10
81,99,5
81,16,5
81,57,5
82,68,5
82,98,10
82,83,10
100,82,10
82,93,10
82,99,5
82,94,10
82,88,10
82,85,10
82,39,5
82,23,5
82,84,5
82,56,5
82,20,5
82,67,5
82,1,5
82,43,5
83,97,10
83,94,5
83,53,5
83,2,5
83,48,5
83,79,5
83,21,5
83,12,5
83,80,5
83,27,5
83,86,5
83,68,5
83,54,5
83,58,5
83,67,5
101,83,10
83,85,10
83,57,5
83,99,5
83,45,5
83,64,5
83,93,10
83,56,5
83,90,10
83,26,5
83,1,5
83,88,10
84,78,5
84,67,5
84,13,5
84,34,5
84,12,5
85,98,5
85,86,5
85,104,5
85,78,5
85,28,5
85,102,5
85,41,5
85,8,5
85,34,5
85,101,5
85,42,5
85,99,5
85,26,5
85,100,5
85,91,10
85,35,5
85,64,5
85,81,5
85,95,5
85,2,5
85,93,10
85,5,5
85,56,5
85,20,5
85,21,5
85,31,5
85,50,5
85,48,5
85,44,5
85,84,5
85,16,5
85,67,5
85,88,10
