id,handle,followers_count,friends_count,isProxy
0,"edd",11634,1614,0
1,"jimmy_wales",164610,773,0
2,"fuzheado",22204,1778,0
3,"mlinksva",846,0,0
4,"Skud",2536,1,0
5,"yuvipanda",4357,212,0
6,"evanpro",4532,2061,0
7,"johl",4252,1448,0
8,"danbri",9066,9971,0
9,"antischokke",1669,1628,0
10,"bgood",1017,832,0
11,"BarryNorton",748,359,0
12,"phoebe_ayers",2234,784,0
13,"notafish",1290,869,0
14,"alolita",3398,3396,0
15,"anjeve",811,761,0
16,"nightrose",3247,425,0
17,"JeanFred",1235,917,0
18,"aklempert",1380,740,0
19,"mindspillage",2273,1089,0
20,"WardCunningham",58029,395,0
21,"jdforrester",1559,2103,0
22,"aharoni",2976,4223,0
23,"jorm",1546,488,0
24,"kansandhaus",4108,800,0
25,"EvoMRI",4537,4938,0
26,"pavel",2753,1652,0
27,"lyzzy",789,518,0
28,"clmbirn",943,437,0
29,"SquidDLane",1798,1831,0
30,"brionv",1226,590,0
31,"vrandezo",3108,445,0
32,"adrianheine",968,410,0
33,"wikinews",5581,867,0
34,"gpaumier",1084,923,0
35,"sjoerddebruin",734,1597,0
36,"Wikivoyage",1022,97,0
37,"MaineC",1702,805,0
38,"tehreedy",644,720,0
39,"petermurrayrust",4890,67,0
40,"wikisignpost",4127,565,0
41,"karima_rafes",788,419,0
42,"Auregann",2607,736,0
43,"wmde",488,6,0
44,"filbertkm",1231,1078,0
45,"WikimediaDE",8593,823,0
46,"tobijat",188,391,0
47,"GerardMeijssen",1058,217,0
48,"ma_kr",378,30,0
49,"Coyau",363,174,0
50,"brightbyte",752,978,0
51,"abta78",1163,3423,0
52,"maettig",311,308,0
53,"nicolastorzec",2097,366,0
54,"brainwane",3021,128,0
55,"mariushoch",170,188,0
56,"timberners_lee",342491,595,0
57,"Wikipedia",521951,499,0
58,"Wikimedia",78945,972,0
59,"wozukunft",2288,1298,0
60,"GretaDoci",1083,1494,0
61,"a_ka_es",910,1437,0
62,"rufuspollock",10158,205,0
63,"wikiworks",637,178,0
64,"JeroenDeDauw",1227,338,0
65,"freiefunken",548,338,0
66,"Tpt93",302,357,0
67,"SuePGardner",7465,1498,0
68,"wikimediaatwork",4092,170,0
69,"Wikispecies",607,178,0
70,"ReaderMeter",6215,3382,0
71,"simulo",518,521,0
72,"renderproject",93,33,0
73,"JahnmitJa",355,613,0
74,"tweriod",79550,182,0
75,"theiapsswalker",766,1033,0
76,"sklaporte",510,469,0
77,"ash_crow",1231,1042,0
78,"WikiCommons",19668,114,0
79,"SemanticMW",1505,472,0
80,"mediawiki",3586,38,0
81,"Harmonia_Amanda",1015,460,0
82,"MagnusManske",1700,401,0
83,"frimelle",832,1135,0
84,"wikisource",1075,34,0
85,"Histropedia",1062,1016,0
86,"wikidata_de",313,3,0
87,"WikiConNA",629,215,0
88,"benestaar",209,350,0
89,"Wikibooks",75,32,0
90,"codeforbe",1614,142,0
91,"StrynWM",173,231,0
92,"Dacry8",6,18,0
93,"addshore",518,411,0
94,"wikiscientists",982,293,0
95,"OmniaVincitAmir",7250,420,0
96,"WikiDienstag",148,305,0
97,"QAnswer21634063",16,24,0
98,"wikimediatech",202,105,0
99,"WikidataFacts",2510,2,0
100,"wikicite16",362,375,0
101,"Jokrates",334,128,0
102,"wikidataindia",239,43,0
103,"WikidataAT",333,350,0
104,"wikidata_es",460,15,0